Start	End
97066	97213
96187	96334
82273	82420
83301	83448
23060	23207
6087	6234
48376	48523
122427	122574
124540	124687
72964	73111
168090	168237
171850	171997
64969	65116
38179	38326
145519	145666
79192	79339
170782	170929
88105	88252
53047	53194
40487	40634
47841	47988
107730	107877
6866	7013
85865	86012
140975	141122
84015	84162
172737	172884
43488	43635
75763	75910
3802	3949
39567	39714
14497	14644
58792	58939
126876	127023
9171	9318
24029	24176
118380	118527
84851	84998
116605	116752
32408	32555
93413	93560
154987	155134
134092	134239
27123	27270
121256	121403
96475	96622
173601	173748
74509	74656
46290	46437
90356	90503
166979	167126
178575	178722
136157	136304
118717	118864
8443	8590
6998	7145
72295	72442
175493	175640
54375	54522
36771	36918
37233	37380
133570	133717
57308	57455
156048	156195
76011	76158
66262	66409
77964	78111
140230	140377
33428	33575
13685	13832
14203	14350
125866	126013
174585	174732
163544	163691
53339	53486
112712	112859
159826	159973
5100	5247
42579	42726
136778	136925
92427	92574
145898	146045
32913	33060
127696	127843
141975	142122
153947	154094
39703	39850
166651	166798
56537	56684
161483	161630
98777	98924
1387	1534
142462	142609
19937	20084
119509	119656
115292	115439
183183	183330
163351	163498
112362	112509
153580	153727
113130	113277
5388	5535
55329	55476
169434	169581
123275	123422
39433	39580
108389	108536
16036	16183
118835	118982
44127	44274
152307	152454
28780	28927
21479	21626
63158	63305
79467	79614
122987	123134
76383	76530
25029	25176
15099	15246
19582	19729
152096	152243
151775	151922
68243	68390
154272	154419
180470	180617
154857	155004
60725	60872
34039	34186
106180	106327
146432	146579
20053	20200
88921	89068
122585	122732
18685	18832
36255	36402
96025	96172
43175	43322
87282	87429
135806	135953
115891	116038
146093	146240
167194	167341
31100	31247
80224	80371
149347	149494
182607	182754
73139	73286
13000	13147
141516	141663
125742	125889
130247	130394
160008	160155
89917	90064
148319	148466
131194	131341
9531	9678
10266	10413
127931	128078
38859	39006
41308	41455
69260	69407
70967	71114
95895	96042
157605	157752
25525	25672
16453	16600
155825	155972
170139	170286
124981	125128
82040	82187
107049	107196
118949	119096
70352	70499
100789	100936
44475	44622
72794	72941
134375	134522
154471	154618
124683	124830
159326	159473
31450	31597
160743	160890
121045	121192
64293	64440
153252	153399
61608	61755
89334	89481
135446	135593
16833	16980
151167	151314
158580	158727
73685	73832
82560	82707
25904	26051
112129	112276
71482	71629
92901	93048
2458	2605
143707	143854
180013	180160
6407	6554
91176	91323
18450	18597
69058	69205
46753	46900
90720	90867
20829	20976
95731	95878
89066	89213
44230	44377
161347	161494
126416	126563
142600	142747
33035	33182
159588	159735
85760	85907
155248	155395
97933	98080
77635	77782
109545	109692
76627	76774
7683	7830
95495	95642
25298	25445
164708	164855
132401	132548
36489	36636
48931	49078
21080	21227
82430	82577
33936	34083
125990	126137
