chip	center	size
1	119975	101.124
1	120577	116.38
1	121264	108.137
1	121941	111.909
1	122718	101.43
1	123457	105.953
1	124077	120.903
1	124830	110.496
1	125426	111.252
1	125925	107.013
1	126318	117.321
1	126590	115.48
1	126879	113.2
1	127318	112.441
1	127435	112.979
1	127866	113.639
1	128214	106.743
1	128742	109.417
1	129222	113.914
1	129794	104.763
1	130087	102.744
1	130324	127.625
1	130500	119.601
1	130767	123.351
1	131036	113.316
1	131230	121.551
1	131568	131.141
1	131908	108.955
1	132426	111.54
1	133041	114.868
1	133620	108.876
1	134203	115.842
1	134697	119.854
1	135198	66.986
1	135675	120.661
1	136407	112.106
1	137148	113.01
1	137830	107.837
1	138613	113.409
1	139244	127.411
1	139742	115.338
1	140301	117.126
1	140774	123.178
1	141217	109.215
1	141698	104.457
1	142032	119.895
1	142367	108.206
1	142651	111.861
1	142966	104.876
1	143383	119.034
1	143706	112.016
1	143890	110.863
1	144594	104.739
1	145028	99.9898
1	145317	108.775
1	145648	111.086
1	145971	130.456
1	146223	112.045
1	146563	124.681
1	146857	130.756
1	147126	128.948
1	147420	102.481
1	147662	121.387
1	147884	120.709
1	148150	116.109
1	148443	126.481
1	148769	117.112
1	148893	125.675
1	149208	133.376
1	149416	114.922
1	149551	119.548
1	149849	107.496
1	150172	122.859
1	150365	115.415
1	150670	98.7521
1	151046	106.949
1	151366	117.269
1	151761	90.6448
1	152112	120.977
1	152496	98.5261
1	152839	128.186
1	153171	123.575
1	153419	99.0561
1	153670	123.076
1	154054	112.489
1	154538	121.28
1	155103	108.174
1	155538	116.862
1	155931	120.631
1	156316	121.805
1	156599	108.857
1	157049	112.827
1	157354	105.205
1	157708	119.582
1	158150	106.279
1	158652	117.423
1	159065	119.085
1	159519	115.187
1	160017	97.6764
1	160481	118.753
1	160791	115.265
1	160963	121.347
1	161309	113.708
1	161542	114.549
1	161914	125.658
1	162310	139.641
1	162552	114.529
1	162732	121.808
1	163034	111.048
1	163138	100.035
1	163247	110.484
1	163431	129.095
1	163674	113.882
1	163956	120.706
1	164191	105.075
1	164469	122.471
1	164804	109.951
1	165155	96.6275
1	165690	112.196
1	166136	104.544
1	166698	107.172
1	167043	113.889
1	167216	103.625
1	167387	115.15
1	167855	65.5605
1	168304	81.6778
1	168649	90.1293
1	168972	101.792
1	169356	119.212
1	169499	112.411
1	169618	107.943
1	169798	124.183
1	170153	115.901
1	170402	106.792
1	170769	99.1086
1	171066	129.382
1	171415	118.15
1	171629	110.095
1	172004	116.114
1	172564	94.2928
1	173132	119.984
1	173778	92.0473
1	174369	108.814
1	174782	108.797
1	175344	117.157
1	175792	102.094
1	176386	113.434
1	176635	124.421
1	176907	111.526
1	177173	116.916
1	177464	111.224
1	177741	108.544
1	178056	115.309
1	178675	117.548
1	179421	114.913
1	179990	106.032
1	180596	100.534
1	181201	103.502
1	181509	135.955
1	181960	120.923
1	182418	118.578
1	182659	109.912
1	182887	114.842
